location,population,MaxInfectionCount,PerCapitaInfected
Cyprus,896007,660854,73.755450571256697771334
San Marino,33690,24382,72.371623627189076877411
Brunei,449002,310379,69.126418145130756655872
Austria,8939617,6081287,68.026258843080190124476
South Korea,51815808,33897537,65.419296366081949354143
Faeroe Islands,53117,34658,65.248413878795865730368
Slovenia,2119843,1344668,63.432433439646237952527
Gibraltar,32677,20550,62.888270037029103038834
Martinique,367512,230354,62.679313872744291342867
Andorra,79843,48015,60.136768408000701376451
Jersey,110796,66391,59.921838333513845265172
Luxembourg,647601,383075,59.152935217827026209039
Saint Pierre and Miquelon,5885,3426,58.215802888700084961767
Denmark,5882259,3415091,58.057474177862620466048
France,67813000,38997490,57.507395337177237402857
Iceland,372903,208845,56.005180971995398267109
Guernsey,63329,35326,55.781711380252333054366
Liechtenstein,39355,21474,54.564858340744505145470
Portugal,10270857,5601153,54.534426874018399827784
Latvia,1850654,975826,52.728711039448757033999
Greece,10384972,5352647,51.542238149510658285838
Guadeloupe,395762,203235,51.352833268479540734077
Israel,9449000,4833089,51.149211556778495078844
Reunion,974062,494595,50.776541944968595428217
Falkland Islands,3801,1923,50.591949486977111286503
Switzerland,8740471,4408474,50.437487865356455046873
Saint Barthelemy,10994,5507,50.090958704748044387847
Georgia,3744385,1850905,49.431482072489874839259
Netherlands,17564020,8616766,49.059190322033338609270
Lithuania,2750058,1322440,48.087713059142752625580
Seychelles,107135,50937,47.544686610351425771223
Bahrain,1472237,696614,47.316702405930566885630
Monaco,36491,16881,46.260721821819078676934
Germany,83369840,38437756,46.105109473641787005948
Cayman Islands,68722,31472,45.796106050464189051540
New Zealand,5185289,2368831,45.683683204542697620132
Estonia,1326064,601773,45.380388880174712532728
Singapore,5637022,2548327,45.206972759730226350012
Isle of Man,84534,38008,44.961790522156765325194
Czechia,10493990,4643607,44.250156518159441737604
Australia,26177410,11576428,44.222969346470869348801
Bonaire Sint Eustatius and Saba,27052,11922,44.070678692887771698950
Italy,59037472,25929238,43.919966627297320589878
Niue,1952,831,42.571721311475409836065
Nauru,12691,5393,42.494681270191474273106
Cook Islands,17032,7218,42.379051197745420385157
Aruba,106459,44224,41.540874890803032153223
Belgium,11655923,4804486,41.219266805382979966494
European Union,450146793,183755598,40.821261165799308493574
Saint Helena,5401,2166,40.103684502869838918718
Montenegro,627082,251133,40.047872527037931243441
Barbados,281646,109503,38.879657442321211733878
Saint Martin (French part),31816,12324,38.735227558461151621825
Marshall Islands,41593,16098,38.703628014329334262976
Puerto Rico,3252412,1252713,38.516430267752056012583
Serbia,6871547,2545186,37.039490525204877446083
United Kingdom,67508936,24671491,36.545518951742921855559
Maldives,523798,186694,35.642365950232723301730
Palau,18084,6197,34.267861092678610926786
Ireland,5023108,1716606,34.174180606907118063159
High income,1250514600,424572328,33.951808959287640464173
Europe,744807803,249109080,33.446088910000315880149
Slovakia,5643455,1866857,33.080036963172382875383
French Guiana,304568,98041,32.190184129652491397651
Oceania,45038860,14435300,32.050766826691439348154
Montserrat,4413,1403,31.792431452526625878087
Croatia,4030361,1274198,31.614984364924134587447
Wallis and Futuna,11596,3550,30.614004829251466022766
United States,338289856,103436829,30.576390975199682014703
Uruguay,3422796,1038774,30.348697380737852913232
Guam,171783,51845,30.180518444782079716852
Mongolia,3398373,1010975,29.748794496660607885008
Spain,47558632,13980340,29.396009540392162667757
Bermuda,64207,18860,29.373744295793293566122
Northern Mariana Islands,49574,14167,28.577480130713680558357
New Caledonia,289959,80064,27.612179652985422076914
Norway,5434324,1486695,27.357496534987608394346
Japan,123951696,33803572,27.271568756913176887874
Chile,19603736,5289055,26.979831803488885996016
Finland,5540745,1483278,26.770371132401870145621
Tuvalu,11335,2943,25.963828848698720776356
Sweden,10549349,2713674,25.723615741596945934768
French Polynesia,306292,78690,25.691170517022971543494
